MatchID,SeasonID,GradeID,Round,HomeTeamName,AwayTeamName,HomeClubEntityID,AwayClubEntityID,HomeTeamResultID,AwayTeamResultID,VenueName,VenueLat,VenueLong,MatchDate,ResultSummary,ScoreText,WasLiveScored,MatchStatusID
7032953,17,71374,13,Sparta 1,Excelsior'20 1,134463,134456,24307527,24307858,Sportpark Bermweg,51.94436,4.58983,2024-08-18 10:00:00,Sparta 1 won by 4 wickets (DLS Method),Sparta 1 173/6 def. Excelsior'20 1 171,False,60
7032954,17,71374,13,ACC 1,VOC 1,134454,134464,24307529,24307859,Sportpark 't Loopveld,52.31912,4.8843,2024-08-18 10:00:00,ACC 1 won by 5 wickets,ACC 1 195/5 def. VOC 1 194/9,False,60
7032955,17,71374,14,Hermes-DVS 1,HBS 1,134470,134457,24307531,24307532,"Loopuyt Oval, Sportpark Harga",51.92125,4.36521,2024-08-25 10:00:00,Hermes-DVS 1 won by 120 runs (DLS Method),Hermes-DVS 1 248/9 def. HBS 1 127,False,60
7032956,17,71374,14,Punjab-Ghausia 1,VCC 1,134462,134465,24307533,24307534,Zomercomplex,51.86658,4.47821,2024-08-25 10:00:00,Punjab-Ghausia 1 won by 5 wickets,Punjab-Ghausia 1 159/5 def. VCC 1 155,False,60
7032957,17,71374,14,VRA 1,HCC 1,134466,134461,24307535,24307536,Amsterdamse Bos,52.31898,4.85117,2024-08-25 10:00:00,VRA 1 won by 8 wickets,VRA 1 63/2 def. HCC 1 59,False,60
7032958,17,71374,14,Excelsior'20 1,VOC 1,134456,134464,24307860,24307861,Sportpark Thurlede,51.9327,4.39525,2024-08-25 10:00:00,VOC 1 won (DLS Method),Excelsior'20 1 200/7 def. by VOC 1 179/6,False,60
7032959,17,71374,14,ACC 1,Sparta 1,134454,134463,24307862,24307540,Sportpark 't Loopveld,52.31912,4.8843,2024-08-25 10:00:00,ACC 1 won by 3 wickets,ACC 1 176/7 def. Sparta 1 175,False,60
7033011,17,71374,15,VOC 1,Sparta 1,134464,134463,24307652,24307863,Schiebroekse Park,51.97019,4.48035,2024-09-01 10:00:00,Sparta 1 won by 9 runs,VOC 1 191 def. by Sparta 1 200,False,60
7033012,17,71374,15,ACC 1,Excelsior'20 1,134454,134456,24307654,24307864,Sportpark 't Loopveld,52.31912,4.8843,2024-09-01 10:00:00,ACC 1 won by 6 wickets,ACC 1 89/4 def. Excelsior'20 1 88/9,False,60
7033013,17,71374,EF,HCC 1,VCC 1,134461,134465,24339007,24339008,De Diepput,52.09602,4.32358,2024-09-01 10:00:00,VCC 1 won by 49 runs (DLS Method),HCC 1 192 def. by VCC 1 241,False,60
7033014,17,71374,PF,Punjab-Ghausia 1,VRA 1,134462,134466,24339005,24339006,Zomercomplex,51.86658,4.47821,2024-09-01 10:00:00,Punjab-Ghausia 1 won by 1 wicket,Punjab-Ghausia 1 266/9 def. VRA 1 265,False,60
7033015,17,71374,QF,VRA 1,VCC 1,134466,134465,24343617,24343616,Amsterdamse Bos,52.31898,4.85117,2024-09-07 10:00:00,VRA 1 won by 8 wickets,VRA 1 110/2 def. VCC 1 106/9,False,60
7033016,17,71374,GF,Punjab-Ghausia 1,VRA 1,134462,134466,24343618,24347771,Zomercomplex,51.86658,4.47821,2024-09-14 10:00:00,Punjab-Ghausia 1 won by 1 wicket (DLS Method),Punjab-Ghausia 1 272/9 def. VRA 1 270/7,False,60
