season_id,season_text,grade_id,grade_name,grade_short_name,sport_id,gender_id,agegroup_id,association_name,rounds
17,2024,83849,U16 Nertherlands vs U16 Denmark,U16 NED v DEN,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,75943,U17,U17,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|GF
17,2024,73417,U17 Finales,U17 Finales,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,90327,U9 Indoor,U9-Indoor,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18
17,2024,88968,VRA Friendlies,VRA-F,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4
17,2024,73942,Vierde Klasse,4e Klasse,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14
17,2024,82351,Vrouwen Hoofdklasse,VHK,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|GF
17,2024,74760,Vrouwen Hoofdklasse,VHK,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,84859,Vrouwen Slotdag T10,VST10,,,,Koninklijke Nederlandse Cricket Bond,1|2|3
17,2024,75993,Vrouwen T20,VT20,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|GF
17,2024,82349,Vrouwen Topklasse,VTK,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|GF
17,2024,89663,Wanderers CC Friendlies,WAN-F,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5
17,2024,73130,Women's T20 Day,,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,83845,Women's T20I Tri-series,T20I Tri-series,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,88310,Youth Qui Vive Premier league U13,YQPL U13,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|QF|GF
17,2024,73943,Zami,Zami,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19
17,2024,73944,Zomi,Zomi,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16
19,2025,73941,Derde Klasse,3e Klasse,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14
19,2025,82135,Eerst Klasse Twenty20,EK T20,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7
19,2025,73934,Eerste Klasse,EK,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18
19,2025,76369,Flamingo Junioren Toernooi,FJT,,,,Koninklijke Nederlandse Cricket Bond,
19,2025,89359,HCLTech Women's ODI Tri Series,HCLTech W - ODI,,,,Koninklijke Nederlandse Cricket Bond,
19,2025,89360,HCLTech Women's T20I Tri Series,HCLTech W - T20I,,,,Koninklijke Nederlandse Cricket Bond,
19,2025,71375,Hoofdklasse,HK,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18
19,2025,82134,Hoofdklasse Twenty20,HK T20,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7
19,2025,79969,KNCB Young Pro Series,KYPS,,,,Koninklijke Nederlandse Cricket Bond,1|2
19,2025,88846,Men's Emerging Pro Series,Men's Pro Series,,,,Koninklijke Nederlandse Cricket Bond,
19,2025,76036,Men's Pro Series,Men's Pro Series,,,,Koninklijke Nederlandse Cricket Bond,
"19,2025,88782,""Netherlands vs Hong Kong, China Women T20I Series"",T20I NED vs HK-C (W),,,,Koninklijke Nederlandse Cricket Bond,"
19,2025,88781,Netherlands vs Italy Women's T20I Series,T20I NED vs ITA (W),,,,Koninklijke Nederlandse Cricket Bond,
19,2025,79484,Non KNCB Matches,NKM,,,,Koninklijke Nederlandse Cricket Bond,
19,2025,90057,Pakistan Ambassador Cup,PAC,,,,Koninklijke Nederlandse Cricket Bond,
